Date,Open*,High,Low,Close,Volume,Market Cap
07/14/15,292.03,296.15,286.64,287.46,28727200,4134767190
07/15/15,288.05,293.25,285.37,285.83,27486600,4112343300
07/16/15,286.04,291.18,275.24,278.09,49482600,4001916229
07/17/15,278.09,280.28,272.04,279.47,27591400,4022845730
07/18/15,279.33,282.53,274.08,274.9,25187100,3958065833
07/19/15,274.77,275.67,272.51,273.61,15332500,3940581988
07/20/15,273.5,278.98,272.96,278.98,22711400,4018965413
07/21/15,278.88,280.55,275.42,275.83,22930700,3974491489
07/22/15,275.66,277.67,274.38,277.22,19389800,3995572964
07/23/15,277.34,278.11,275.72,276.05,18531300,3979625902
07/24/15,276.01,289.25,275.25,288.28,37199400,4157148934
07/25/15,288.16,290.73,286,288.7,20662200,4164295442
07/26/15,288.64,293.05,287.71,292.69,16032300,4222888242
07/27/15,292.64,297.77,287.45,293.62,30592000,4237522843
07/28/15,293.63,296.65,293.42,294.43,25453600,4250112630
07/29/15,294.48,294.54,288.78,289.59,24672600,4181390010
07/30/15,289.1,290.13,286.57,287.72,21635800,4155381827
07/31/15,287.7,288.96,282.34,284.65,23629100,4112089481
08/01/15,284.69,284.93,278.11,281.6,18995000,4069120370
08/02/15,280.45,283.03,277.53,282.61,17722200,4084832103
08/03/15,282.81,285.47,280.23,281.23,21474100,4065895598
08/04/15,281.23,285.71,281.23,285.22,21908700,4124558889
08/05/15,284.85,285.5,281.49,281.88,20128000,4077254001
08/06/15,281.91,281.91,278.4,278.58,18792100,4030445072
08/07/15,278.74,280.39,276.37,279.58,42484800,4045993359
08/08/15,279.74,279.93,260.71,261,58533000,3778049024
08/09/15,261.12,267,260.47,265.08,23789600,3838130130
08/10/15,265.48,267.03,262.6,264.47,20979400,3830352069
08/11/15,264.34,270.39,264.09,270.39,25433900,3917142819
08/12/15,270.6,270.67,265.47,266.38,26815400,3859888131
08/13/15,266.18,266.23,262.84,264.08,27685500,3827588724
08/14/15,264.13,267.47,261.48,265.68,27091200,3851715726
08/15/15,265.53,266.67,261.3,261.55,19321100,3792757590
08/16/15,261.87,262.44,257.04,258.51,29717000,3749501856
08/17/15,258.49,260.51,257.12,257.98,21617900,3742748055
